review_text
"very easy to use app, very happy with it"
"New 2024 app is slow to open. Too much whitespace. Cluttered, hard to work out what I'm looking at. The transaction list should show more info. The home page puts my debit cards in the middle of the list of accounts which is useless. The order of accounts on the home page is different to the website. Useless MyMoneyManager and My HomeManager nonsense. No payment notifications. Cant edit payees or standing orders. Cant see pending payments. Changing payee reference cancels future payments!"
easy to use.. Great..
having issues with your updates .. advice
so easy to use
Easy.
"it would be a lot better if the balance widget updated itself regularly. I can't get it to update without opening the App, which negates the usefulness of the widget."
"Having changed a savings account name (which was a bigger hassle than needed to be), I can no longer see my other accounts! (eventually got them back up - in the wrong order). No matter how many times I press the X to close the ""Check out the latest offers"" thing that appears on the home page, it keeps reappearing pretty much immediately. It's very annoying. what's the point in the X if it doesn't work?"
They put the widget back! All is right with the world! The refresh button on it could do with being a bit bigger coz it keeps opening the app instead of refreshing but apart from that I am happy 😊
Easy to use
great app and easy to manage/understand
"Much preferred the old app, maybe I'll get used to this one but it just looks a mess, more confusing were as the old one was just simple an quick to use, and also the quick balance widget has gone, this was what I liked about the old app, it says see your card details so when I click to see them it ask me for a photo ID which I have already done when I first got the new app, so it wants me to do it all over again, can this app honestly get any worse,glad to see the quick balance widget is back"
Crashes on launch on GrapheneOS. I guess we're moving our joint account...
does everything it needs to do
Great service
"Not bad, but i wish they'd make it all BLUE"
Waiting so long for balance notifications - and what do we get? A widget! Really poor. I don't want to stick another widget on my phone. Why not simply add a balance button on the app or drop-down notification? And 60mb forced updates for every trivial thing...
Edit - 08/2025 - the app does not give card payment prompts for online purchases so I can't use my card if it wants the app approval. Editing my review from 2013 - the updates since then are 360° - my only issue now is you can't search transactions. But thats all!
uninstalled and reinstalled as wouldn't get past my log in which worked but a few weekd later it's closing on me again. I found the app very quick to use rather than the website but if I have to reinstall every few weeks its not worth keeping. reinstalled 3rd Sept and still closes down. not much help talking about updates when there are none showing up on my tablet
works well
"App is very hit and miss to log onto. disappointing and frustrating. When trying to pay a bill it doesn't connect to authorize, so having to pay by automated service!!"
easy and simple!
Excellent x
banking app. works as expected.
very good app very good bank santander
very easy to use
easy straight forward banking app
easy to use
quick and easy to do transfers between accounts
easy to use
what's the point in messaging us to say we have new insights just for there be nothing to click on in the app when we launch it?
"Santander never asked me to give a review in five years, not sure why they've prompted me twice in the past minute. No complaints other than that, the app's improved a lot since I started using it"
very easy to use..security excellent
Good app no problems
ok but prefer Lloyds app
it would be good to be able to see the money that is pending to come into my account as well as taken out.
Great app! Really easy to use.
Easy to use and I can see all my accounts and the transactions 👍
The app is very easy to navigate and super user-friendly. I can do all my banking on the app.
very easy to use
